[2025-04-17 12:50:11 +0000] [9372] [INFO] Starting gunicorn 23.0.0
[2025-04-17 12:50:11 +0000] [9372] [INFO] Listening at: http://0.0.0.0:5000 (9372)
[2025-04-17 12:50:11 +0000] [9372] [INFO] Using worker: sync
[2025-04-17 12:50:11 +0000] [9372] [INFO] Handling signal: winchd: 9394
[2025-04-17 12:50:11 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:11 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:11 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:11 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:11 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:11 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:11 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:11 +0000] [9372] [INFO] Handling signal: winch
Database URL: postgresql://neondb_owner:npg_c9zkTZnui2ej@ep-black-water-a6s0upe0.us-west-2.aws.neon.tech/neondb?sslmode=require
[2025-04-17 12:50:11 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:11 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:12 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
[2025-04-17 12:50:13 +0000] [9372] [INFO] Handling signal: winch
2025-04-17 12:50:14,039 - MedicalSpy - INFO - Database tables created (if they didn't exist)
2025-04-17 12:50:29,904 - MedicalSpy - INFO - Starting person search for persons with IDs: 3 in PubMed
2025-04-17 12:50:30,141 - MedicalSpy - ERROR - Error retrieving persons: 'int' object is not iterable
2025-04-17 12:50:41,641 - MedicalSpy - INFO - Starting person search for persons with IDs: 2 in PubMed
2025-04-17 12:50:41,861 - MedicalSpy - ERROR - Error retrieving persons: 'int' object is not iterable
2025-04-17 12:50:50,313 - MedicalSpy - INFO - Starting simple search for 'Anette Melk' in PubMed
2025-04-17 12:50:50,534 - MedicalSpy - INFO - Searching PubMed for: Anette Melk
2025-04-17 12:50:50,535 - MedicalSpy - INFO - PubMed-Search: Anette Melk
2025-04-17 12:50:50,535 - MedicalSpy - INFO - PubMed ESearch attempt 1/3
2025-04-17 12:50:50,538 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): eutils.ncbi.nlm.nih.gov:443
2025-04-17 12:50:50,711 - urllib3.connectionpool - DEBUG - https://eutils.ncbi.nlm.nih.gov:443 "GET /entrez/eutils/esearch.fcgi?db=pubmed&term=Anette%2520Melk&retmax=1000&retmode=xml&usehistory=y HTTP/1.1" 200 None
2025-04-17 12:50:50,713 - MedicalSpy - INFO - Using PubMed history server for retrieval
2025-04-17 12:50:50,713 - MedicalSpy - INFO - PubMed EFetch batch 1/2 attempt 1/3
2025-04-17 12:50:50,715 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): eutils.ncbi.nlm.nih.gov:443
2025-04-17 12:50:51,142 - urllib3.connectionpool - DEBUG - https://eutils.ncbi.nlm.nih.gov:443 "GET /entrez/eutils/efetch.fcgi?db=pubmed&WebEnv=MCID_6800f92a47c4fee7e2047165&query_key=1&retstart=0&retmax=500&retmode=xml HTTP/1.1" 200 None
2025-04-17 12:50:53,616 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): eutils.ncbi.nlm.nih.gov:443
2025-04-17 12:50:53,764 - urllib3.connectionpool - DEBUG - https://eutils.ncbi.nlm.nih.gov:443 "GET /entrez/eutils/elink.fcgi?dbfrom=pubmed&linkname=pubmed_pubmed_citedin&id=40233702&retmode=xml HTTP/1.1" 200 None
2025-04-17 12:50:53,767 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): eutils.ncbi.nlm.nih.gov:443
2025-04-17 12:50:53,897 - urllib3.connectionpool - DEBUG - https://eutils.ncbi.nlm.nih.gov:443 "GET /entrez/eutils/elink.fcgi?dbfrom=pubmed&linkname=pubmed_pubmed_citedin&id=40180137&retmode=xml HTTP/1.1" 200 None
2025-04-17 12:50:53,900 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): eutils.ncbi.nlm.nih.gov:443
2025-04-17 12:50:54,054 - urllib3.connectionpool - DEBUG - https://eutils.ncbi.nlm.nih.gov:443 "GET /entrez/eutils/elink.fcgi?dbfrom=pubmed&linkname=pubmed_pubmed_citedin&id=40164303&retmode=xml HTTP/1.1" 200 None
2025-04-17 12:50:54,059 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): eutils.ncbi.nlm.nih.gov:443
2025-04-17 12:50:54,111 - urllib3.connectionpool - DEBUG - https://eutils.ncbi.nlm.nih.gov:443 "GET /entrez/eutils/elink.fcgi?dbfrom=pubmed&linkname=pubmed_pubmed_citedin&id=40111446&retmode=xml HTTP/1.1" 429 104
2025-04-17 12:50:54,112 - MedicalSpy - WARNING - 429 Error for PMID 40111446. Waiting 1.0 seconds...
2025-04-17 12:50:55,114 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): eutils.ncbi.nlm.nih.gov:443
2025-04-17 12:50:55,290 - urllib3.connectionpool - DEBUG - https://eutils.ncbi.nlm.nih.gov:443 "GET /entrez/eutils/elink.fcgi?dbfrom=pubmed&linkname=pubmed_pubmed_citedin&id=40111446&retmode=xml HTTP/1.1" 200 None
2025-04-17 12:50:55,292 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): eutils.ncbi.nlm.nih.gov:443
